time,mem_a,pulse_a,mem_b,pulse_b,i_b
0.002488500,0.006483,0.041752,0.002178,0.000000,9.403551e-8
0.002488750,0.006732,0.035342,0.002180,0.000000,7.959935e-8
0.002489000,0.006980,0.000000,0.002182,0.000000,0.000000e0
0.002489250,0.007229,0.000000,0.002181,0.000000,0.000000e0
0.002489500,0.007477,0.000000,0.002181,0.000000,0.000000e0
0.002489750,0.007726,0.000000,0.002180,0.000000,0.000000e0
0.002490000,0.007974,0.000000,0.002180,0.000000,0.000000e0
0.002490250,0.008223,0.000000,0.002179,0.000000,0.000000e0
0.002490500,0.008471,0.000000,0.002179,0.000000,0.000000e0
0.002490750,0.008719,0.000000,0.002179,0.000000,0.000000e0
0.002491000,0.008967,0.000000,0.002178,0.000000,0.000000e0
0.002491250,0.009215,0.000000,0.002178,0.000000,0.000000e0
0.002491500,0.009463,0.000000,0.002177,0.000000,0.000000e0
0.002491750,0.009712,0.000000,0.002177,0.000000,0.000000e0
0.002492000,0.009959,0.000000,0.002176,0.000000,0.000000e0
0.002492250,0.010207,0.000000,0.002176,0.000000,0.000000e0
0.002492500,0.010455,0.000000,0.002175,0.000000,0.000000e0
0.002492750,0.010703,0.000000,0.002175,0.000000,0.000000e0
0.002493000,0.010951,0.000000,0.002174,0.000000,0.000000e0
0.002493250,0.011199,0.000000,0.002174,0.000000,0.000000e0
0.002493500,0.011446,0.000000,0.002174,0.000000,0.000000e0
0.002493750,0.011694,0.000000,0.002173,0.000000,0.000000e0
0.002494000,0.011941,0.000000,0.002173,0.000000,0.000000e0
0.002494250,0.012189,0.000000,0.002172,0.000000,0.000000e0
0.002494500,0.012436,0.000000,0.002172,0.000000,0.000000e0
0.002494750,0.012684,0.000000,0.002171,0.000000,0.000000e0
0.002495000,0.012931,0.000000,0.002171,0.000000,0.000000e0
0.002495250,0.013178,0.000000,0.002170,0.000000,0.000000e0
0.002495500,0.013426,0.000000,0.002170,0.000000,0.000000e0
0.002495750,0.013673,0.000000,0.002170,0.000000,0.000000e0
0.002496000,0.013920,0.000000,0.002169,0.000000,0.000000e0
0.002496250,0.014167,0.000000,0.002169,0.000000,0.000000e0
0.002496500,0.014414,0.000000,0.002168,0.000000,0.000000e0
0.002496750,0.014661,0.000000,0.002168,0.000000,0.000000e0
0.002497000,0.014908,0.000000,0.002167,0.000000,0.000000e0
0.002497250,0.015155,0.000000,0.002167,0.000000,0.000000e0
